train error, test error
  71.64286,   26.12164
  30.66116,    9.28373
  18.90148,    6.33871
  14.61743,    5.50047
  12.45136,    4.10838
  10.79589,    4.27281
  10.26603,    3.92378
   9.26992,    3.97891
   9.01047,    4.13181
   8.49974,    3.05272
   8.38239,    2.98983
   7.53099,    3.58472
   7.16122,    3.29041
   6.88783,    3.14613
   7.13264,    2.94333
   6.55273,    2.62801
   6.77815,    2.71985
   6.10745,    3.03998
   6.49202,    2.73907
   5.78831,    2.60346
   6.34953,    2.63954
   6.36724,    2.50000
   6.19930,    2.41725
   6.17418,    2.47345
   5.56834,    2.33563
   5.87380,    2.65376
   5.46913,    2.58929
   5.74102,    2.63532
   5.32763,    2.24689
   5.97971,    2.32255
   5.20346,    2.46783
   5.22718,    2.26134
   5.56382,    2.61641
   5.32014,    2.22962
   5.30007,    2.18162
   5.00469,    2.41012
   5.23512,    2.27442
   5.11876,    2.34056
   4.82797,    2.35004
   5.19620,    2.19687
   5.39332,    2.29518
   5.55262,    2.29500
   5.03009,    2.17825
   5.00234,    2.46842
   5.19350,    2.32191
   5.06968,    2.17136
   4.85251,    2.24920
   4.92298,    2.20516
   5.12886,    2.50267
   4.81683,    2.33071
   5.03081,    2.10592
   5.15633,    2.13193
   5.06332,    2.03385
   4.85892,    2.16882
   4.44443,    2.30382
   4.78408,    2.17046
   4.54845,    2.24527
   4.47739,    1.96151
   4.99931,    2.51403
   4.74877,    2.05511
   4.55157,    2.13164
   4.77111,    2.10765
   4.32587,    1.97438
   4.82331,    2.24403
   4.56868,    2.00695
   5.36329,    1.93638
   4.63164,    2.20265
   4.18596,    2.02261
   4.84319,    2.30386
   4.73217,    2.08931
   4.68218,    2.11456
   4.66709,    1.98354
   4.53887,    2.21824
   4.23549,    2.02586
   4.24711,    2.19180
   4.73154,    2.36671
   4.34684,    2.14401
   5.27512,    2.19909
   4.51766,    1.96662
   4.62153,    2.25734
   4.29460,    1.92348
   4.18674,    2.08994
   4.40435,    2.25866
   4.45628,    2.33834
   4.30054,    2.30463
   4.33705,    2.25268
   4.20229,    2.14891
   3.90587,    2.13940
   4.10068,    2.27957
